"Keyword","Avg. Search Volume (Last Known Values)","Avg. Search Volume (Last 12 months)","Avg. Search Volume (Last 6 months)","Avg. Search Volume (Last 3 months)","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 3/2015","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025"
"bmi räknare",40100,40700,39500,40500,"Sweden","0.28",43,18,7,"","informational","Missing words in title","People Also Ask","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",27100,33100,27100,27100,27100,33100,27100,22200,27100,33100,27100,27100,22200,33100,33100,33100,27100,33100,33100,33100,33100,40500,40500,33100,27100,40500,49500,60500,49500,49500,40500,33100,40500,40500,40500,33100,33100,49500,40500,40500,40500,40500,33100,33100,49500,40500,40500,40500
"räkna ut bmi",25200,25800,26400,27100,"Sweden","0.28",48,28,40,"HOMEPAGES","","","Featured Snippet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",22200,22200,18100,22200,18100,22200,14800,14800,18100,22200,18100,18100,14800,22200,18100,22200,18100,18100,14800,14800,18100,22200,22200,18100,14800,27100,22200,27100,22200,22200,18100,18100,18100,22200,22200,22200,18100,27100,22200,27100,22200,27100,22200,22200,33100,27100,27100,27100
"räkna bmi",7700,7900,7600,8100,"Sweden","0.27",45,28,23,"HOMEPAGES","","","Featured Snippet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5400,5400,5400,5400,5400,6600,5400,4400,5400,8100,6600,5400,5400,6600,6600,6600,6600,6600,5400,5400,6600,6600,8100,6600,5400,8100,6600,8100,6600,6600,6600,5400,6600,6600,6600,6600,5400,8100,8100,9900,8100,8100,6600,6600,8100,8100,8100,8100
"räkna ut bmi kvinna",1900,2000,2100,2400,"Sweden","0.32",56,26,33,"HOMEPAGES","","Missing words in title","Featured Snippet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1300,1600,1300,1300,1000,1300,1000,1000,1300,1600,1000,1000,880,1900,1600,1600,720,880,1600,1600,1900,1900,2400,1600,1000,1900,1900,2400,1900,1900,1600,1300,1600,1900,1900,1600,1300,1900,1900,2400,1600,1900,1600,1600,2400,2400,2400,2400
"bmi räkna ut",25200,25800,26400,27100,"Sweden","0.28",48,28,40,"HOMEPAGES","","","Featured Snippet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",22200,22200,18100,22200,18100,22200,14800,14800,18100,22200,18100,18100,14800,22200,18100,22200,18100,18100,14800,14800,18100,22200,22200,18100,14800,27100,22200,27100,22200,22200,18100,18100,18100,22200,22200,22200,18100,27100,22200,27100,22200,27100,22200,22200,33100,27100,27100,27100
"beräkna bmi",2600,2600,2400,2700,"Sweden","0.29",42,30,13,"HOMEPAGES","","Missing words in title","Featured Snippet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3600,3600,2900,2900,2900,2900,1600,1300,1900,1900,1900,1900,1600,2400,1900,1900,1900,1900,1600,1600,1900,2400,2400,2400,1900,2900,2400,2900,2400,2400,1900,1900,2400,2900,2400,2400,2400,3600,2900,2900,2400,2900,1900,1900,2900,2900,2900,2400
"bmi räknaren",140,140,150,120,"Sweden","0.32",35,,-16,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",880,590,1300,1300,1000,1300,1000,1000,1600,1600,1300,880,1000,1600,1600,1900,1600,1600,880,1000,720,880,1000,1000,880,1600,880,720,390,390,390,390,210,170,170,110,110,110,90,140,140,210,210,140,210,140,110,110
"räkna bmi kvinna",690,710,630,670,"Sweden","0.33",59,,0,"","","","","","30","20","10","20","20","40","40","30","30","30","20","10","20","20","10","10","10","20","30","10","10","10","20","20","20","10","10","50","40","20","20","110","10","20","10","10","10","10","10","10","10","20","10","10","10","10","110","30","50","70","40","40","90","70","90","70","40","70","140","30","40","40","30","20","20","10","10","10","20","10","10","30","30","70","40","30","30","20","20","20",20,20,10,10,10,10,10,90,320,320,140,90,260,590,390,480,390,390,320,260,390,480,260,390,260,590,590,720,590,590,590,590,720,720,720,590,480,880,720,880,720,880,590,480,720,720,720,590
"räkna ut bmi kvinna ålder",150,150,140,110,"Sweden","0.33",43,12,29,"HOMEPAGES","","Missing words in title","Featured Snippet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1600","1600","1300","4400","1000","320","3600","3600","2900","2900","2400","1900","2900","1900","2900","3600","3600","720","720","880","880","880","590",480,590,480,480,390,480,320,260,320,390,50,30,70,140,140,140,320,480,50,50,90,170,170,140,110,260,210,260,50,50,140,110,70,170,140,70,90,170,170,170,170,210,110,170,210,170,110,70
"räkna ut ditt bmi",470,480,450,480,"Sweden","0.28",55,22,7,"HOMEPAGES","","Missing words in title","Featured Snippet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",390,390,320,390,320,260,260,260,260,320,260,210,260,390,390,390,390,390,320,320,390,390,390,390,320,480,480,590,480,390,390,320,390,480,480,390,320,590,480,590,480,480,390,390,480,480,480,480
