Date,Clics,Impressions,CTR,Position
2026-01-06,2,126,1.59%,24.5
2026-01-07,2,159,1.26%,30.1
2026-01-08,3,222,1.35%,37.9
2026-01-09,3,202,1.49%,46.2
2026-01-10,0,179,0%,46.2
2026-01-11,1,149,0.67%,40.6
2026-01-12,3,190,1.58%,41.2
2026-01-13,3,151,1.99%,31.3
2026-01-14,2,167,1.2%,25.8
2026-01-15,2,163,1.23%,29.7
2026-01-16,3,170,1.76%,28.7
2026-01-17,2,183,1.09%,32.9
2026-01-18,2,228,0.88%,37.2
2026-01-19,3,189,1.59%,30.9
2026-01-20,1,211,0.47%,31
2026-01-21,2,216,0.93%,29.4
2026-01-22,3,240,1.25%,28.4
2026-01-23,2,220,0.91%,33.9
2026-01-24,0,206,0%,29.2
2026-01-25,3,225,1.33%,27.6
2026-01-26,2,256,0.78%,26.5
2026-01-27,3,232,1.29%,22.3
2026-01-28,1,236,0.42%,25.6
2026-01-29,1,215,0.47%,24.5
2026-01-30,2,220,0.91%,30
2026-01-31,1,233,0.43%,28.6
2026-02-01,0,275,0%,30.4
2026-02-02,3,216,1.39%,27
