Pays,Clics,Impressions,CTR,Position
Suède,52,5481,0.95%,31.59
Finlande,1,23,4.35%,18.7
Australie,1,3,33.33%,11.33
France,1,2,50%,7
États-Unis,0,37,0%,11.41
Inde,0,20,0%,40.5
Italie,0,9,0%,7.11
Philippines,0,9,0%,35.78
Espagne,0,8,0%,8.5
Royaume-Uni,0,7,0%,17.14
Turquie,0,7,0%,19.29
Norvège,0,7,0%,23
Thaïlande,0,6,0%,8.83
Danemark,0,5,0%,23.4
Portugal,0,4,0%,9.5
Argentine,0,4,0%,9.75
Corée du Sud,0,4,0%,29
Algérie,0,4,0%,35.25
Brésil,0,3,0%,8.67
Ukraine,0,3,0%,8.67
Égypte,0,3,0%,21.67
Indonésie,0,3,0%,56
Kazakhstan,0,2,0%,5
Belgique,0,2,0%,10.5
Éthiopie,0,2,0%,36
Tanzanie,0,1,0%,1
Lettonie,0,1,0%,6
Chine,0,1,0%,7
Allemagne,0,1,0%,7
Jordanie,0,1,0%,7
Roumanie,0,1,0%,7
Kenya,0,1,0%,9
Pologne,0,1,0%,10
Arabie Saoudite,0,1,0%,10
Somalie,0,1,0%,11
Tunisie,0,1,0%,11
Bolivie,0,1,0%,14
Chypre,0,1,0%,20
Vietnam,0,1,0%,21
Bénin,0,1,0%,29
Costa Rica,0,1,0%,30
Équateur,0,1,0%,33
Bangladesh,0,1,0%,35
République Dominicaine,0,1,0%,37
Malaisie,0,1,0%,39
Angola,0,1,0%,45
