Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
bmi,"Informational, Commercial",110000,28,0.05,"Image, Related searches, Ads top"
bmi räknare,Commercial,40500,18,0.08,"Image, Related searches, Ads top"
räkna ut bmi,Informational,27100,17,0.09,"Image, Related searches, Ads bottom"
bmi kalkylator,"Informational, Commercial",14800,22,0.10,"Image, Related searches, Ads top, Ads bottom"
bmi kvinna,"Informational, Commercial",8100,19,0.11,"Image, Image pack, Video, Related searches"
bmi räkna,Commercial,8100,17,0.10,"Image, Related searches, Ads top"
räkna bmi,"Informational, Commercial",8100,17,0.10,"Image, Related searches"
bmi barn,Informational,5400,20,0.87,"AI Overview, Image, Image pack, Related searches"
bmi beräkning,"Informational, Commercial",5400,17,0.08,"Sitelinks, Image, Related searches, Ads bottom"
bmi uträkning,"Informational, Commercial",4400,16,0.10,"Image, Related searches"
bmi räkna ut,"Informational, Commercial",3600,13,0.09,"Image, Image pack, Related searches, Ads bottom"
bmi man,Informational,2900,16,0.10,"AI Overview, Image, Related searches, Ads bottom"
bmi kvinna ålder,Informational,2400,13,0.28,"AI Overview, Image, Image pack, Related searches"
bmi räknare kvinna ålder,Informational,2400,13,0.27,"AI Overview, Image, Related searches"
hur räknar man ut bmi,Informational,1900,15,0.09,"AI Overview, Image, Related searches"
räkna ut bmi kvinna,"Informational, Commercial",1900,21,0.15,"Image, People also ask, Related searches, Ads top, Ads bottom"
bmi kalkulator,"Informational, Commercial",1600,22,0.10,"Image, Related searches"
bmi räknare kvinna,"Informational, Commercial",1300,17,0.09,"Image, Video, People also ask, Related searches, Ads bottom"
bmi äldre man,Informational,880,21,0.18,"AI Overview, Image, Image pack, Related searches"
iso bmi,Informational,880,19,0.00,"AI Overview, Image, Image pack, Knowledge panel, Related searches"
bmi aleris,"Navigational, Transactional",720,19,0.00,"Image, Image pack, Video, Related searches, Ads top"
bmi skala,Informational,720,22,0.13,"AI Overview, Image, Image pack, People also ask, Related searches"
