"Keyword","Avg. Search Volume (Last Known Values)","Avg. Search Volume (Last 12 months)","Avg. Search Volume (Last 6 months)","Avg. Search Volume (Last 3 months)","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025"
"bmi räknare",40100,40700,39500,40500,"Sweden","0.28",43,18,7,"","informational","Missing words in title","People Also Ask","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",27100,33100,27100,27100,27100,33100,27100,22200,27100,33100,27100,27100,22200,33100,33100,33100,27100,33100,33100,33100,33100,40500,40500,33100,27100,40500,49500,60500,49500,49500,40500,33100,40500,40500,40500,33100,33100,49500,40500,40500,40500,40500,33100,33100,49500,40500,40500,40500
"hur räkna bmi",130,130,130,150,"Sweden","0.25",27,18,12,"","commercial, informational, transactional","Missing words in title","AI Overview, People Also Ask","40","40","10","10","20","30","30","40","20","30","40","40","40","40","40","20","40","30","30","40","50","70","70","50","50","50","40","70","30","40","30","50","40","50","50","50","50","50","30","20","20","90","50","50","50","70","40","40","40","50","20","40","50","30","70","40","40","50","90","70","320","210","50","110","140","50","70","50","40","70","50","70","210","260","50","50","40","50","90","70",90,70,90,70,70,90,70,40,90,170,90,90,50,110,140,110,110,90,70,70,140,110,170,110,90,170,140,210,110,110,110,90,90,170,140,140,90,170,140,140,140,140,90,110,140,140,170,140
"hur räkna bmi kvinna",,,,,"Sweden","",,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hur beräkna bmi",90,90,90,120,"Sweden","0.28",33,,36,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","40","20","40","20","10","30","40","30","70","20","70","90","90","390","260","70","140","210","50","90","70","50","70","90","110","210","210","50","40","30","40","70","50",70,70,70,70,50,70,30,30,40,110,40,50,30,70,90,90,50,50,40,50,90,70,110,50,50,90,70,140,70,70,50,50,50,110,90,70,50,90,110,110,90,90,50,70,90,110,140,110
"hur räknas bmi ut",470,490,490,550,"Sweden","0.26",34,16,57,"","informational","Missing words in title","AI Overview, People Also Ask","40","30","10","10","10","20","20","30","10","30","30","20","","40","10","10","10","10","10","10","20","10","20","10","10","20","10","10","10","10","20","20","20","40","30","40","40","30","30","10","20","40","30","50","50","50","30","30","30","40","30","20","40","20","40","20","20","50","110","70","480","390","70","210","260","50","70","50","40","50","70","70","210","210","40","20","40","50","70","70",320,260,320,260,260,260,210,170,260,720,320,260,210,390,390,390,260,390,210,210,260,390,480,320,210,480,390,590,320,320,320,260,260,480,390,390,260,480,480,590,390,590,390,320,590,590,590,480
"vad är bmi värde",20,30,30,20,"Sweden","0.21",19,,333,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","10","10","30","20","10","20","10","20","50","10","10","10","10","20","70","50","10","10","10","10","20","10",20,10,20,20,10,10,20,10,10,10,10,20,10,20,10,20,10,20,10,10,20,10,10,10,10,20,10,10,20,10,10,10,10,10,10,40,10,20,20,50,30,20,30,20,70,40,20,10
"vad är bmi",640,640,550,630,"Sweden","0.41",13,29,-18,"","","Missing words in title","","320","320","140","110","210","210","260","260","210","260","320","260","320","390","210","110","210","260","320","320","320","390","320","260","320","320","210","170","260","210","320","390","260","320","390","480","390","390","260","210","260","320","390","390","320","480","390","480","480","480","320","260","320","390","480","590","590","590","480","720","1000","1000","480","590","390","480","590","590","590","590","590","880","720","1000","480","320","390","480","720","590",590,720,720,880,720,720,480,390,480,880,720,590,590,720,720,720,590,590,480,390,590,720,720,720,720,880,880,880,720,720,590,590,590,720,720,590,590,720,720,880,720,720,480,480,480,590,590,720
"bmi räknare vuxen",,,,,"Sweden","",,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bmi räknare kvinna",1000,1100,1000,1100,"Sweden","0.35",50,,-20,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",390,720,590,390,390,720,480,320,720,590,170,90,140,320,260,260,320,390,390,480,480,720,720,1000,880,1300,880,1600,1000,1000,1300,1000,1300,1600,1600,1600,1000,880,880,1300,1000,1600,880,1000,1300,1000,1300,1000
"bmi räknare vikt",,,,,"Sweden","",,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
